,fourth_downs_rate_awayAvg,def_st_td_homeAvg,def_st_td_awayAvg,def_st_td_opp_awayAvg,def_st_td_opp_homeAvg,score_diff_homeAvg,score_diff_awayAvg,home,away,winner,date
130,0.24830881556961001,0.7477046979661081,0.9262208092445463,0.3500019640557128,0.1799197269125381,12.102821091528217,-2.3598493658636475,Packers,Lions,1,2002-11-10
131,0.17959593692034884,0.3524855157276403,0.0,0.20129904440092775,0.906324652171708,-5.648668233514615,-11.128013401663758,Titans,Texans,1,2002-11-10
132,0.19318021541593577,0.0,0.36001954348193776,0.38612390579578637,1.1615077939419307,-0.8441784497324862,0.9052785536756911,Rams,Chargers,1,2002-11-10
133,0.3340070094429034,0.0,0.0,0.3639382248861106,0.7512198272166899,-3.2596813302690553,-5.577865752073112,Vikings,Giants,0,2002-11-10
134,0.3263154178149179,0.0,0.0,0.0,0.7656524118845468,13.076576078506054,0.5166711642322133,Eagles,Colts,0,2002-11-10
135,0.19355501318621363,0.1929636750343341,0.0,0.3740962554405923,0.0,11.496305989002254,9.880001397512881,Steelers,Falcons,0,2002-11-10
136,0.22834285463976975,0.0,0.3998775268808054,0.7727208616637431,0.0,-6.290136941278905,5.5826405590038455,Panthers,Saints,0,2002-11-10
137,0.354778504032427,0.0,0.3650409471539439,0.5607956483116404,0.0,1.243200995151834,-17.73734836267006,Ravens,Bengals,1,2002-11-10
138,0.19054864792851364,0.36373914132457674,0.9599330910496287,0.0,0.3512284849678877,0.22031855091074837,-0.15818588005123213,Cardinals,Seahawks,0,2002-11-10
139,0.16348147084111497,0.18642166739146884,0.38742145512241566,0.38742145512241566,0.0,1.508259327590958,-4.837620544951933,Jaguars,Washington,1,2002-11-10
140,0.31703345843388503,0.36355849958742575,0.0,0.0,0.3783956034198116,-8.97284786228582,-8.4093712064155,Bears,Patriots,0,2002-11-10
141,0.13541157175730545,0.37390849577541074,0.0,0.0,0.19458399548255828,8.064580755800556,2.7666881740589826,49ers,Chiefs,1,2002-11-10
142,0.26218052380184403,0.20919980194224336,0.3998775268808054,0.4141210479438132,0.0,-8.043256062824863,1.7225699268783519,Jets,Dolphins,1,2002-11-10
143,0.08856593773847572,0.745776683640325,1.0928824217468132,0.0,0.39968096771223,2.3413374475101003,2.0496867362227196,Broncos,Raiders,0,2002-11-11
144,0.2722542281968525,0.4141210479438132,0.38612390579578637,0.7461434492777241,0.36001954348193776,5.597732553100039,3.9335964494152615,Falcons,Saints,1,2002-11-17
145,0.34019701672801833,0.7696280888523744,0.1999387634404027,0.2070605239719066,0.5395761967766792,-5.165707706057942,-0.15486444234818952,Bengals,Browns,0,2002-11-17
146,0.3320193570549155,0.4183996038844867,0.18632841519247045,0.20695694776504012,0.7024569699357754,-3.252612655495674,11.200669816046236,Titans,Steelers,1,2002-11-17
147,0.20130077649669276,0.0,0.0,0.0,0.41391389553008023,-4.513541609087185,-1.2335932636820033,Colts,Cowboys,1,2002-11-17
148,0.25755962619402956,0.0,0.3998775268808054,0.7328628782648754,0.0,5.26358955740328,3.1245298802132075,Chiefs,Bills,1,2002-11-17
149,0.5445629489396984,0.0,0.7861044738500446,0.0,0.7229012920633575,-4.866562632694201,13.333691000070257,Vikings,Packers,1,2002-11-17
150,0.15732989476373022,0.0,0.3728433347829377,0.3728433347829377,0.3510478464261633,-4.425117638079338,-0.6995219886298012,Giants,Washington,1,2002-11-17
151,0.4744067525021144,0.0,0.7669404795439753,0.0,0.5696932380555826,8.628772542674389,-1.1462473054679587,Eagles,Cardinals,1,2002-11-17
152,0.3240629626302698,0.0,0.18000977174096888,0.0,0.6092234077734119,-14.611915201364459,-4.338500556269717,Texans,Jaguars,0,2002-11-17
153,0.3868440026126876,0.0,0.35984257644233014,0.18726401528716263,0.5749894656645476,-7.014002812948565,6.704503665179608,Chargers,49ers,1,2002-11-17
154,0.07051837720474521,1.1327404051456809,0.0,0.0,0.36001954348193776,8.974838230309889,-7.911700745423007,Buccaneers,Panthers,1,2002-11-17
155,0.25566658979368084,0.7229012920633575,0.409768302145059,0.0,0.0,-0.8449539704674409,3.285568260272635,Lions,Jets,0,2002-11-17
156,0.3757965115159235,0.3769015984776056,0.0,0.4141210479438132,0.8110537127629364,-5.9024990574712195,-1.3417463024337961,Dolphins,Ravens,1,2002-11-17
157,0.47337083331432916,0.923756381172985,0.37266324202759404,0.38593739818894046,0.0,-1.9314541205260858,3.0478392078863807,Seahawks,Broncos,0,2002-11-17
158,0.32983785081447287,0.36001954348193776,0.0,0.0,0.0,-3.335090043241699,-2.1147047630295823,Raiders,Patriots,1,2002-11-17
159,0.09176426615255996,0.0,0.34983175462288285,0.3641086593661243,1.1764473864905443,3.9832680163161958,-8.870872286891633,Rams,Bears,1,2002-11-18
160,0.17861548556918108,0.19475156965464552,0.49682230876834754,0.7839314037485423,0.20269953198743443,-5.421499292873481,-8.778457757201915,Bears,Lions,1,2002-11-24
161,0.4009883783310535,0.2828525318445064,0.1002973346527917,0.17438862773790897,0.0,-3.9786682339349912,2.64449348675483,Cowboys,Jaguars,1,2002-11-24
162,0.2609790234686816,0.38574356923365405,0.8538014672052381,0.319047911798082,0.45126399835644426,2.096677542572261,0.761033299948128,Dolphins,Chargers,1,2002-11-24
163,0.18208691270609528,0.3638966693812671,0.0,0.6748765413037181,0.0,4.247446479348331,-5.103216605052971,Patriots,Vikings,1,2002-11-24
164,0.2790947961912573,0.8111791958327095,0.32654060236402793,0.30794512018553255,0.4061885182002239,5.817968036095312,0.9677171376588884,Saints,Browns,0,2002-11-24
165,0.22332367863725427,0.4034581193171032,0.5015290973234368,0.7797950136900773,0.3632704040175784,-3.184322089619386,-2.4190713314040946,Jets,Bills,1,2002-11-24
166,0.22165579510668612,0.10381391342609045,0.5481138632241145,0.6610683339787549,0.20555869573085764,3.9562862853608345,-10.38291872535148,Steelers,Bengals,1,2002-11-24
167,0.4101451266726929,0.2989727528024051,0.0,1.5071279996004172,0.2080739794677805,-5.6290911987422785,0.48161437558828557,Washington,Rams,1,2002-11-24
168,0.1773045599457236,0.18273880292112984,0.23117017757697675,0.20096969765514908,0.24178715801580242,-2.3960250208761202,5.301888100262458,Panthers,Falcons,0,2002-11-24
